Name,Association,Class,Rarity,Level,Chibi,Health,Armor,Reload,Luck,Firepower,Torpedo,Evasion,Speed,AntiAir,Aviation,OilConsumption,Accuracy,AntiSubmarine
Kalk,Eagle Union,Destroyer,Rare,Level 120,/w/images/f/fc/KalkChibi.png,1826,Light,204,75,87,320,163,45,172,0,8,184,193
Washington,Eagle Union,Battleship,Super Rare,Base Stats,/w/images/9/95/WashingtonChibi.png,1353,Heavy,58,89,82,0,7,28,79,0,5,22,0
Tai Yuan,Eastern Radiance,Destroyer,Elite,Base Stats,/w/images/f/f5/Tai_YuanChibi.png,367,Light,73,71,24,42,61,45,32,0,2,68,49
South Dakota,Eagle Union,Battleship,Super Rare,Level 120,/w/images/8/80/South_DakotaChibi.png,8031,Heavy,159,76,414,0,33,27,400,0,15,71,0
Uranami,Sakura Empire,Destroyer,Elite,Level 100,/w/images/f/f0/UranamiChibi.png,1499,Light,181,75,57,458,188,46,127,0,9,180,176
South Dakota,Eagle Union,Battleship,Super Rare,Level 100,/w/images/8/80/South_DakotaChibi.png,6953,Heavy,138,76,379,0,18,27,368,0,15,59,0
Yat Sen,Eastern Radiance,Light Cruiser,Elite,Level 120,/w/images/e/ed/Yat_SenChibi.png,1884,Light,182,64,120,0,79,19,347,0,10,146,55
South Dakota,Eagle Union,Battleship,Super Rare,Base Stats,/w/images/8/80/South_DakotaChibi.png,1345,Heavy,58,76,80,0,7,27,79,0,5,23,0
Kalk,Eagle Union,Destroyer,Rare,Level 100,/w/images/f/fc/KalkChibi.png,1521,Light,178,75,76,282,157,45,149,0,8,175,174
Long Island,Eagle Union,Light Aircraft Carrier,Rare,Level 120 Retrofit,/w/images/2/28/Long_IslandChibi.png,4901,Medium,187,68,0,0,66,16,292,340,10,86,100
Yat Sen,Eastern Radiance,Light Cruiser,Elite,Level 100,/w/images/e/ed/Yat_SenChibi.png,1698,Light,159,64,104,0,62,19,307,0,10,131,48
Long Island,Eagle Union,Light Aircraft Carrier,Rare,Level 120,/w/images/2/28/Long_IslandChibi.png,4691,Medium,182,68,0,0,66,16,257,280,10,86,100
Bache,Eagle Union,Destroyer,Rare,Level 120,/w/images/7/7d/BacheChibi.png,2095,Light,196,78,76,283,161,43,194,0,8,186,187
Long Island,Eagle Union,Light Aircraft Carrier,Rare,Level 100 Retrofit,/w/images/2/28/Long_IslandChibi.png,4254,Medium,163,68,0,0,39,16,259,306,10,72,88
Yat Sen,Eastern Radiance,Light Cruiser,Elite,Base Stats,/w/images/e/ed/Yat_SenChibi.png,328,Light,67,64,22,0,24,19,66,0,3,50,13
Long Island,Eagle Union,Light Aircraft Carrier,Rare,Level 100,/w/images/2/28/Long_IslandChibi.png,4044,Medium,158,68,0,0,39,16,224,246,10,72,88
Kalk,Eagle Union,Destroyer,Rare,Base Stats,/w/images/f/fc/KalkChibi.png,294,Light,75,75,16,60,60,45,32,0,2,67,47
Long Island,Eagle Union,Light Aircraft Carrier,Rare,Base Stats,/w/images/2/28/Long_IslandChibi.png,782,Medium,67,68,0,0,15,16,48,52,3,28,24
Ning Hai,Eastern Radiance,Light Cruiser,Elite,Level 120 Retrofit,/w/images/2/2c/Ning_HaiChibi.png,2192,Light,187,51,201,234,110,23,304,0,10,152,75
Bogue,Eagle Union,Light Aircraft Carrier,Normal,Level 120 Retrofit,/w/images/e/ec/BogueChibi.png,4163,Medium,184,78,0,0,67,18,287,339,9,86,148
Reno,Eagle Union,Light Cruiser,Super Rare,Base Stats,/w/images/a/a7/RenoChibi.png,646,Light,70,52,27,36,28,32,93,0,3,58,50
Bogue,Eagle Union,Light Aircraft Carrier,Normal,Level 120,/w/images/e/ec/BogueChibi.png,3953,Medium,179,78,0,0,67,18,252,279,9,86,148
Ning Hai,Eastern Radiance,Light Cruiser,Elite,Level 120,/w/images/2/2c/Ning_HaiChibi.png,1982,Light,182,51,146,234,75,23,289,0,10,152,75
Bogue,Eagle Union,Light Aircraft Carrier,Normal,Level 100 Retrofit,/w/images/e/ec/BogueChibi.png,3589,Medium,161,78,0,0,39,18,254,304,9,72,131
Minneapolis,Eagle Union,Heavy Cruiser,Super Rare,Level 120,/w/images/7/74/MinneapolisChibi.png,4152,Medium,182,76,258,0,57,26,248,0,12,128,0
Bogue,Eagle Union,Light Aircraft Carrier,Normal,Level 100,/w/images/e/ec/BogueChibi.png,3379,Medium,156,78,0,0,39,18,219,244,9,72,131
Ning Hai,Eastern Radiance,Light Cruiser,Elite,Level 100 Retrofit,/w/images/2/2c/Ning_HaiChibi.png,1996,Light,164,51,182,203,102,23,269,0,10,136,66
Bogue,Eagle Union,Light Aircraft Carrier,Normal,Base Stats,/w/images/e/ec/BogueChibi.png,654,Medium,66,78,0,0,15,18,47,52,2,28,36
Bache,Eagle Union,Destroyer,Rare,Level 100,/w/images/7/7d/BacheChibi.png,1746,Light,171,78,66,248,156,43,169,0,8,177,168
Langley,Eagle Union,Light Aircraft Carrier,Normal,Level 120 Retrofit,/w/images/0/00/LangleyChibi.png,4700,Medium,128,32,0,0,80,15,280,264,9,81,95
Ning Hai,Eastern Radiance,Light Cruiser,Elite,Level 100,/w/images/2/2c/Ning_HaiChibi.png,1786,Light,159,51,127,203,67,23,254,0,10,136,66
Langley,Eagle Union,Light Aircraft Carrier,Normal,Level 120,/w/images/0/00/LangleyChibi.png,4460,Medium,123,32,0,0,80,15,245,204,9,81,95
Minneapolis,Eagle Union,Heavy Cruiser,Super Rare,Level 100,/w/images/7/74/MinneapolisChibi.png,3707,Medium,159,76,225,0,24,26,216,0,12,110,0
Langley,Eagle Union,Light Aircraft Carrier,Normal,Level 100 Retrofit,/w/images/0/00/LangleyChibi.png,4085,Medium,112,32,0,0,38,15,248,237,9,68,84
Ning Hai,Eastern Radiance,Light Cruiser,Elite,Base Stats,/w/images/2/2c/Ning_HaiChibi.png,345,Light,67,51,27,43,26,23,54,0,3,52,18
Langley,Eagle Union,Light Aircraft Carrier,Normal,Level 100,/w/images/0/00/LangleyChibi.png,3845,Medium,107,32,0,0,38,15,213,177,9,68,84
Uranami,Sakura Empire,Destroyer,Elite,Base Stats,/w/images/f/f0/UranamiChibi.png,290,Light,76,75,12,97,72,46,27,0,3,69,48
Langley,Eagle Union,Light Aircraft Carrier,Normal,Base Stats,/w/images/0/00/LangleyChibi.png,744,Medium,45,32,0,0,15,15,46,38,2,26,23
Ping Hai,Eastern Radiance,Light Cruiser,Elite,Level 120 Retrofit,/w/images/e/ec/Ping_HaiChibi.png,2160,Light,187,47,201,234,107,21,272,0,10,155,75
Lexington,Eagle Union,Aircraft Carrier,Elite,Level 120,/w/images/3/33/LexingtonChibi.png,6912,Medium,110,35,0,0,57,33,303,397,12,92,0
Minneapolis,Eagle Union,Heavy Cruiser,Super Rare,Base Stats,/w/images/7/74/MinneapolisChibi.png,717,Medium,67,76,48,0,9,26,46,0,4,42,0
Lexington,Eagle Union,Aircraft Carrier,Elite,Level 100,/w/images/3/33/LexingtonChibi.png,6116,Medium,96,35,0,0,34,33,266,356,12,83,0
Ping Hai,Eastern Radiance,Light Cruiser,Elite,Level 120,/w/images/e/ec/Ping_HaiChibi.png,1950,Light,182,47,146,234,72,21,257,0,10,155,75
Lexington,Eagle Union,Aircraft Carrier,Elite,Base Stats,/w/images/3/33/LexingtonChibi.png,1183,Medium,41,35,0,0,13,33,57,75,4,32,0
Bache,Eagle Union,Destroyer,Rare,Base Stats,/w/images/7/7d/BacheChibi.png,338,Light,72,78,14,53,60,43,36,0,2,68,46
Saratoga,Eagle Union,Aircraft Carrier,Elite,Level 120 Retrofit,/w/images/f/fb/SaratogaChibi.png,7122,Medium,130,66,0,0,57,33,353,442,12,92,0
Ping Hai,Eastern Radiance,Light Cruiser,Elite,Level 100 Retrofit,/w/images/e/ec/Ping_HaiChibi.png,1967,Light,164,47,182,203,99,21,239,0,10,138,66
Saratoga,Eagle Union,Aircraft Carrier,Elite,Level 120,/w/images/f/fb/SaratogaChibi.png,6912,Medium,110,66,0,0,57,33,303,397,12,92,0
Hazelwood,Eagle Union,Destroyer,Rare,Level 120,/w/images/3/3e/HazelwoodChibi.png,2054,Light,196,75,85,283,160,42,172,0,8,197,218
Saratoga,Eagle Union,Aircraft Carrier,Elite,Level 100 Retrofit,/w/images/f/fb/SaratogaChibi.png,6326,Medium,116,66,0,0,34,33,316,401,12,83,0
Ping Hai,Eastern Radiance,Light Cruiser,Elite,Level 100,/w/images/e/ec/Ping_HaiChibi.png,1757,Light,159,47,127,203,64,21,224,0,10,138,66
Saratoga,Eagle Union,Aircraft Carrier,Elite,Level 100,/w/images/f/fb/SaratogaChibi.png,6116,Medium,96,66,0,0,34,33,266,356,12,83,0
Jeanne d'Arc,Iris Libre,Light Cruiser,Unreleased,Level 100,,,,,,,,,,,,,,
Saratoga,Eagle Union,Aircraft Carrier,Elite,Base Stats,/w/images/f/fb/SaratogaChibi.png,1183,Medium,41,66,0,0,13,33,57,75,4,32,0
Ping Hai,Eastern Radiance,Light Cruiser,Elite,Base Stats,/w/images/e/ec/Ping_HaiChibi.png,340,Light,67,47,27,43,25,21,48,0,3,53,18
Ranger,Eagle Union,Light Aircraft Carrier,Normal,Level 120 Retrofit,/w/images/7/7a/RangerChibi.png,5019,Medium,136,71,0,0,73,29,283,300,9,89,107
Hazelwood,Eagle Union,Destroyer,Rare,Level 100,/w/images/3/3e/HazelwoodChibi.png,1712,Light,171,75,74,248,154,42,150,0,8,188,198
Ranger,Eagle Union,Light Aircraft Carrier,Normal,Level 120,/w/images/7/7a/RangerChibi.png,4779,Medium,131,71,0,0,73,29,248,240,9,89,107
Avrora,North Union,Light Cruiser,Super Rare,Level 120,/w/images/5/5c/AvroraChibi.png,3372,Medium,150,55,104,223,79,19,160,0,11,130,57
Ranger,Eagle Union,Light Aircraft Carrier,Normal,Level 100 Retrofit,/w/images/7/7a/RangerChibi.png,4360,Medium,119,71,0,0,49,29,251,269,9,76,94
Black Prince,Royal Navy,Light Cruiser,Elite,Level 120,/w/images/6/6d/Black_PrinceChibi.png,3608,Light,179,58,142,153,98,32,377,0,10,169,148
Ranger,Eagle Union,Light Aircraft Carrier,Normal,Level 100,/w/images/7/7a/RangerChibi.png,4120,Medium,114,71,0,0,49,29,216,209,9,76,94
Avrora,North Union,Light Cruiser,Super Rare,Level 100,/w/images/5/5c/AvroraChibi.png,3024,Medium,130,55,91,194,62,19,139,0,11,116,50
Ranger,Eagle Union,Light Aircraft Carrier,Normal,Base Stats,/w/images/7/7a/RangerChibi.png,797,Medium,48,71,0,0,19,29,46,44,2,29,26
Hazelwood,Eagle Union,Destroyer,Rare,Base Stats,/w/images/3/3e/HazelwoodChibi.png,331,Light,72,75,16,53,59,42,32,0,2,72,54
Yorktown,Eagle Union,Aircraft Carrier,Elite,Level 120,/w/images/3/3d/YorktownChibi.png,5797,Medium,121,39,0,0,54,32,317,395,12,96,0
Avrora,North Union,Light Cruiser,Super Rare,Base Stats,/w/images/5/5c/AvroraChibi.png,585,Medium,55,55,19,41,24,19,30,0,3,45,14
Yorktown,Eagle Union,Aircraft Carrier,Elite,Level 100,/w/images/3/3d/YorktownChibi.png,5041,Medium,105,39,0,0,34,32,280,354,12,85,0
Grozny,North Union,Destroyer,Elite,Level 120,/w/images/2/2c/GroznyChibi.png,2496,Light,200,60,125,179,166,46,204,0,9,184,200
Yorktown,Eagle Union,Aircraft Carrier,Elite,Base Stats,/w/images/3/3d/YorktownChibi.png,975,Medium,45,39,0,0,13,32,60,75,4,33,0
Bailey,Eagle Union,Destroyer,Rare,Level 120 Retrofit,/w/images/2/22/BaileyChibi.png,2036,Light,224,70,102,320,162,47,262,0,8,184,192
Enterprise,Eagle Union,Aircraft Carrier,Super Rare,Level 120,/w/images/d/dc/EnterpriseChibi.png,6193,Medium,132,93,0,0,62,32,329,429,13,107,0
Concord,Eagle Union,Light Cruiser,Rare,Level 120,/w/images/8/84/ConcordChibi.png,3301,Light,185,67,146,215,101,35,295,0,9,151,82
Enterprise,Eagle Union,Aircraft Carrier,Super Rare,Level 100,/w/images/d/dc/EnterpriseChibi.png,5385,Medium,115,93,0,0,49,32,291,394,13,95,0
Bailey,Eagle Union,Destroyer,Rare,Level 120,/w/images/2/22/BaileyChibi.png,1826,Light,204,70,87,320,162,44,172,0,8,184,192
Enterprise,Eagle Union,Aircraft Carrier,Super Rare,Base Stats,/w/images/d/dc/EnterpriseChibi.png,1042,Medium,49,93,0,0,19,32,62,83,4,37,0
Black Prince,Royal Navy,Light Cruiser,Elite,Level 100,/w/images/6/6d/Black_PrinceChibi.png,3221,Light,156,58,123,133,73,32,336,0,10,151,131
Hornet,Eagle Union,Aircraft Carrier,Elite,Level 120,/w/images/d/db/HornetChibi.png,5823,Medium,121,15,0,0,54,32,307,401,12,96,0
Bailey,Eagle Union,Destroyer,Rare,Level 100 Retrofit,/w/images/2/22/BaileyChibi.png,1731,Light,198,70,91,282,156,47,239,0,8,175,173
Hornet,Eagle Union,Aircraft Carrier,Elite,Level 100,/w/images/d/db/HornetChibi.png,5063,Medium,105,15,0,0,34,32,270,360,12,85,0
Concord,Eagle Union,Light Cruiser,Rare,Level 100,/w/images/8/84/ConcordChibi.png,2921,Light,161,67,127,187,79,35,259,0,9,135,72
Hornet,Eagle Union,Aircraft Carrier,Elite,Base Stats,/w/images/d/db/HornetChibi.png,979,Medium,45,15,0,0,13,32,58,76,4,33,0
Bailey,Eagle Union,Destroyer,Rare,Level 100,/w/images/2/22/BaileyChibi.png,1521,Light,178,70,76,282,156,44,149,0,8,175,173
Wasp,Eagle Union,Aircraft Carrier,Rare,Level 120,/w/images/1/1b/WaspChibi.png,4894,Medium,117,20,0,0,51,29,272,330,11,88,0
Bluegill,Eagle Union,Submarine,Elite,Level 120,/w/images/9/99/BluegillChibi.png,1692,Light,87,65,71,499,41,16,0,0,6,175,0
Wasp,Eagle Union,Aircraft Carrier,Rare,Level 100,/w/images/1/1b/WaspChibi.png,4219,Medium,102,20,0,0,31,29,238,292,11,79,0
Bailey,Eagle Union,Destroyer,Rare,Base Stats,/w/images/2/22/BaileyChibi.png,294,Light,75,70,16,60,60,44,32,0,2,67,47
Wasp,Eagle Union,Aircraft Carrier,Rare,Base Stats,/w/images/1/1b/WaspChibi.png,816,Medium,43,20,0,0,12,29,51,62,3,30,0
Concord,Eagle Union,Light Cruiser,Rare,Base Stats,/w/images/8/84/ConcordChibi.png,565,Light,68,67,27,40,30,35,55,0,2,52,20
Vestal,Eagle Union,Repair Ship,Elite,Level 120,/w/images/3/3c/VestalChibi.png,4624,Light,168,79,50,0,43,16,152,0,10,108,0
Z19,Ironblood,Destroyer,Rare,Level 120,/w/images/7/76/Z19Chibi.png,2033,Light,201,39,68,440,148,43,149,0,8,182,192
Vestal,Eagle Union,Repair Ship,Elite,Level 100,/w/images/3/3c/VestalChibi.png,3986,Light,146,79,43,0,16,16,132,0,10,97,0
Black Prince,Royal Navy,Light Cruiser,Elite,Base Stats,/w/images/6/6d/Black_PrinceChibi.png,623,Light,66,58,26,28,28,32,72,0,3,58,36
Vestal,Eagle Union,Repair Ship,Elite,Base Stats,/w/images/3/3c/VestalChibi.png,771,Light,62,79,9,0,6,16,28,0,3,37,0
Z19,Ironblood,Destroyer,Rare,Level 100,/w/images/7/76/Z19Chibi.png,1708,Light,175,39,59,398,143,43,129,0,8,174,173
Amazon,Royal Navy,Destroyer,Rare,Level 120 Retrofit,/w/images/d/dc/AmazonChibi.png,1535,Light,192,72,65,360,231,47,194,0,8,186,216
Amagi,Sakura Empire,Battlecruiser,Super Rare,Level 120,/w/images/b/b4/AmagiChibi.png,7654,Medium,148,23,421,213,41,30,187,0,15,68,0
Amazon,Royal Navy,Destroyer,Rare,Level 120,/w/images/d/dc/AmazonChibi.png,1370,Light,192,72,65,360,211,44,154,0,8,186,176
Z19,Ironblood,Destroyer,Rare,Base Stats,/w/images/7/76/Z19Chibi.png,330,Light,74,39,13,84,55,43,28,0,2,67,47
Amazon,Royal Navy,Destroyer,Rare,Level 100 Retrofit,/w/images/d/dc/AmazonChibi.png,1307,Light,167,72,56,320,225,47,174,0,8,177,198
Grozny,North Union,Destroyer,Elite,Level 100,/w/images/2/2c/GroznyChibi.png,2080,Light,174,60,109,156,160,46,178,0,9,175,180
Amazon,Royal Navy,Destroyer,Rare,Level 100,/w/images/d/dc/AmazonChibi.png,1142,Light,167,72,56,320,205,44,134,0,8,177,158
Z20,Ironblood,Destroyer,Normal,Level 120,/w/images/f/f1/Z20Chibi.png,1993,Light,196,71,65,433,148,43,145,0,7,182,189
Amazon,Royal Navy,Destroyer,Rare,Base Stats,/w/images/d/dc/AmazonChibi.png,221,Light,70,72,12,68,79,44,29,0,2,68,43
Amagi,Sakura Empire,Battlecruiser,Super Rare,Level 100,/w/images/b/b4/AmagiChibi.png,6514,Medium,129,23,379,186,24,30,162,0,15,55,0
Acasta,Royal Navy,Destroyer,Rare,Level 120 Retrofit,/w/images/2/24/AcastaChibi.png,1535,Light,193,43,68,400,244,45,169,0,8,172,173
Z20,Ironblood,Destroyer,Normal,Level 100,/w/images/f/f1/Z20Chibi.png,1675,Light,171,71,57,391,143,43,126,0,7,174,170
Acasta,Royal Navy,Destroyer,Rare,Level 120,/w/images/2/24/AcastaChibi.png,1370,Light,193,43,68,360,209,42,154,0,8,172,173
Stanly,Eagle Union,Destroyer,Rare,Level 120,/w/images/b/bb/StanlyChibi.png,2095,Light,204,90,85,283,160,42,172,0,8,197,206
Acasta,Royal Navy,Destroyer,Rare,Level 100 Retrofit,/w/images/2/24/AcastaChibi.png,1307,Light,168,43,59,360,238,45,149,0,8,164,155
Z20,Ironblood,Destroyer,Normal,Base Stats,/w/images/f/f1/Z20Chibi.png,324,Light,72,71,12,83,55,43,27,0,1,67,46
Acasta,Royal Navy,Destroyer,Rare,Level 100,/w/images/2/24/AcastaChibi.png,1142,Light,168,43,59,320,203,42,134,0,8,164,155
Amagi,Sakura Empire,Battlecruiser,Super Rare,Base Stats,/w/images/b/b4/AmagiChibi.png,1260,Medium,54,23,80,39,9,30,35,0,5,21,0
Acasta,Royal Navy,Destroyer,Rare,Base Stats,/w/images/2/24/AcastaChibi.png,221,Light,71,43,13,68,78,42,29,0,2,63,42
Z21,Ironblood,Destroyer,Normal,Level 120,/w/images/b/b3/Z21Chibi.png,1993,Light,196,42,65,433,148,43,145,0,7,182,190
Ardent,Royal Navy,Destroyer,Rare,Level 120 Retrofit,/w/images/0/0a/ArdentChibi.png,1535,Light,193,35,68,400,244,45,169,0,8,172,173
Sovetsky Soyuz,North Union,Battleship,Unreleased,Base Stats,,,,,,,,,,,,,,
Ardent,Royal Navy,Destroyer,Rare,Level 120,/w/images/0/0a/ArdentChibi.png,1370,Light,193,35,68,360,209,42,154,0,8,172,173
Z21,Ironblood,Destroyer,Normal,Level 100,/w/images/b/b3/Z21Chibi.png,1675,Light,171,42,57,391,143,43,126,0,7,174,171
Ardent,Royal Navy,Destroyer,Rare,Level 100 Retrofit,/w/images/0/0a/ArdentChibi.png,1307,Light,168,35,59,360,238,45,149,0,8,164,155
Kaga (Battleship),Sakura Empire,Battleship,Super Rare,Level 120,/w/images/2/2f/Kaga_%28Battleship%29Chibi.png,8303,Heavy,149,42,423,217,39,26,187,0,15,71,0
Ardent,Royal Navy,Destroyer,Rare,Level 100,/w/images/0/0a/ArdentChibi.png,1142,Light,168,35,59,320,203,42,134,0,8,164,155
Z21,Ironblood,Destroyer,Normal,Base Stats,/w/images/b/b3/Z21Chibi.png,324,Light,72,42,12,83,55,43,27,0,1,67,47
Ardent,Royal Navy,Destroyer,Rare,Base Stats,/w/images/0/0a/ArdentChibi.png,221,Light,71,35,13,68,78,42,29,0,2,63,42
Stanly,Eagle Union,Destroyer,Rare,Level 100,/w/images/b/bb/StanlyChibi.png,1746,Light,177,90,74,248,154,42,150,0,8,188,186
Beagle,Royal Navy,Destroyer,Normal,Level 120,/w/images/c/c2/BeagleChibi.png,1349,Light,190,71,65,354,209,42,150,0,7,175,192
Z46,Ironblood,Destroyer,Super Rare,Level 120,/w/images/2/2b/Z46Chibi.png,2595,Light,212,63,90,452,151,43,255,0,10,180,210
Beagle,Royal Navy,Destroyer,Normal,Level 100,/w/images/c/c2/BeagleChibi.png,1124,Light,165,71,57,315,203,42,130,0,7,167,173
Kaga (Battleship),Sakura Empire,Battleship,Super Rare,Level 100,/w/images/2/2f/Kaga_%28Battleship%29Chibi.png,7115,Heavy,130,42,381,188,20,26,162,0,15,57,0
Beagle,Royal Navy,Destroyer,Normal,Base Stats,/w/images/c/c2/BeagleChibi.png,218,Light,70,71,12,67,78,42,28,0,1,64,47
Z46,Ironblood,Destroyer,Super Rare,Level 100,/w/images/2/2b/Z46Chibi.png,2237,Light,184,63,78,410,146,43,222,0,10,171,190
Bulldog,Royal Navy,Destroyer,Normal,Level 120,/w/images/7/73/BulldogChibi.png,1349,Light,190,65,65,354,209,42,150,0,7,175,197
Grozny,North Union,Destroyer,Elite,Base Stats,/w/images/2/2c/GroznyChibi.png,402,Light,73,60,23,33,61,46,38,0,2,67,49
Bulldog,Royal Navy,Destroyer,Normal,Level 100,/w/images/7/73/BulldogChibi.png,1124,Light,165,65,57,315,203,42,130,0,7,167,177
Z46,Ironblood,Destroyer,Super Rare,Base Stats,/w/images/2/2b/Z46Chibi.png,433,Light,78,63,17,87,56,43,48,0,3,66,52
Bulldog,Royal Navy,Destroyer,Normal,Base Stats,/w/images/7/73/BulldogChibi.png,218,Light,70,65,12,67,78,42,28,0,1,64,48
Kaga (Battleship),Sakura Empire,Battleship,Super Rare,Base Stats,/w/images/2/2f/Kaga_%28Battleship%29Chibi.png,1376,Heavy,55,42,81,40,8,26,35,0,5,22,0
Comet,Royal Navy,Destroyer,Normal,Level 120 Retrofit,/w/images/d/d0/CometChibi.png,1524,Light,195,54,68,385,245,46,165,0,7,178,206
Kamikaze,Sakura Empire,Destroyer,Rare,Level 120 Retrofit,/w/images/9/9c/KamikazeChibi.png,1726,Light,229,86,60,414,193,47,179,0,7,193,202
Comet,Royal Navy,Destroyer,Normal,Level 120,/w/images/d/d0/CometChibi.png,1359,Light,190,54,68,350,210,43,150,0,7,178,206
Stanly,Eagle Union,Destroyer,Rare,Base Stats,/w/images/b/bb/StanlyChibi.png,338,Light,75,90,16,53,59,42,32,0,2,72,51
Comet,Royal Navy,Destroyer,Normal,Level 100 Retrofit,/w/images/d/d0/CometChibi.png,1298,Light,170,54,59,345,239,46,146,0,7,169,186
Kamikaze,Sakura Empire,Destroyer,Rare,Level 120,/w/images/9/9c/KamikazeChibi.png,1561,Light,209,86,60,404,193,44,139,0,7,183,202
Comet,Royal Navy,Destroyer,Normal,Level 100,/w/images/d/d0/CometChibi.png,1133,Light,165,54,59,310,204,43,131,0,7,169,186
Hatakaze,Sakura Empire,Destroyer,Rare,Level 120,/w/images/9/96/HatakazeChibi.png,1561,Light,203,87,60,404,193,44,139,0,7,183,189
Comet,Royal Navy,Destroyer,Normal,Base Stats,/w/images/d/d0/CometChibi.png,219,Light,70,54,13,66,78,43,28,0,1,65,51
Kamikaze,Sakura Empire,Destroyer,Rare,Level 100 Retrofit,/w/images/9/9c/KamikazeChibi.png,1466,Light,202,86,52,372,187,47,161,0,7,184,183
Crescent,Royal Navy,Destroyer,Normal,Level 120 Retrofit,/w/images/d/d4/CrescentChibi.png,1524,Light,190,35,108,350,240,46,165,0,7,183,206
Bluegill,Eagle Union,Submarine,Elite,Level 100,/w/images/9/99/BluegillChibi.png,1410,Light,76,65,62,454,22,16,0,0,6,156,0
Crescent,Royal Navy,Destroyer,Normal,Level 120,/w/images/d/d4/CrescentChibi.png,1359,Light,190,35,68,350,210,43,150,0,7,178,206
Kamikaze,Sakura Empire,Destroyer,Rare,Level 100,/w/images/9/9c/KamikazeChibi.png,1301,Light,182,86,52,362,187,44,121,0,7,174,183
Crescent,Royal Navy,Destroyer,Normal,Level 100 Retrofit,/w/images/d/d4/CrescentChibi.png,1298,Light,165,35,99,310,234,46,146,0,7,174,186
Hatakaze,Sakura Empire,Destroyer,Rare,Level 100,/w/images/9/96/HatakazeChibi.png,1301,Light,176,87,52,362,187,44,121,0,7,174,169
Crescent,Royal Navy,Destroyer,Normal,Level 100,/w/images/d/d4/CrescentChibi.png,1133,Light,165,35,59,310,204,43,131,0,7,169,186
Kamikaze,Sakura Empire,Destroyer,Rare,Base Stats,/w/images/9/9c/KamikazeChibi.png,252,Light,77,86,11,77,72,44,26,0,1,67,50
Crescent,Royal Navy,Destroyer,Normal,Base Stats,/w/images/d/d4/CrescentChibi.png,219,Light,70,35,13,66,78,43,28,0,1,65,51
Littorio,Sardegna Empire,Battleship,Super Rare,Level 120,/w/images/5/52/LittorioChibi.png,8367,Heavy,154,79,421,0,35,30,243,0,15,58,0
Cygnet,Royal Navy,Destroyer,Normal,Level 120 Retrofit,/w/images/e/e2/CygnetChibi.png,1524,Light,190,72,98,350,255,46,165,0,7,178,210
Matsukaze,Sakura Empire,Destroyer,Rare,Level 120 Retrofit,/w/images/a/a6/MatsukazeChibi.png,1726,Light,223,45,59,414,190,47,170,0,7,193,186
Cygnet,Royal Navy,Destroyer,Normal,Level 120,/w/images/e/e2/CygnetChibi.png,1359,Light,190,72,68,350,210,43,150,0,7,178,210
Hatakaze,Sakura Empire,Destroyer,Rare,Base Stats,/w/images/9/96/HatakazeChibi.png,252,Light,74,87,11,77,72,44,26,0,1,67,46
Cygnet,Royal Navy,Destroyer,Normal,Level 100 Retrofit,/w/images/e/e2/CygnetChibi.png,1298,Light,165,72,89,310,249,46,146,0,7,169,190
Matsukaze,Sakura Empire,Destroyer,Rare,Level 120,/w/images/a/a6/MatsukazeChibi.png,1561,Light,203,45,59,404,190,44,130,0,7,183,186
Cygnet,Royal Navy,Destroyer,Normal,Level 100,/w/images/e/e2/CygnetChibi.png,1133,Light,165,72,59,310,204,43,131,0,7,169,190
Minsk,North Union,Destroyer,Elite,Level 120,/w/images/4/46/MinskChibi.png,2612,Light,201,58,145,228,177,48,172,0,9,184,203
Cygnet,Royal Navy,Destroyer,Normal,Base Stats,/w/images/e/e2/CygnetChibi.png,219,Light,70,72,13,66,78,43,28,0,1,65,52
Matsukaze,Sakura Empire,Destroyer,Rare,Level 100 Retrofit,/w/images/a/a6/MatsukazeChibi.png,1466,Light,196,45,51,372,184,47,153,0,7,184,167
Foxhound,Royal Navy,Destroyer,Normal,Level 120 Retrofit,/w/images/7/75/FoxhoundChibi.png,1538,Light,192,68,106,350,249,45,165,0,7,180,213
Makinami,Sakura Empire,Destroyer,Elite,Level 120,/w/images/a/a2/MakinamiChibi.png,2157,Light,215,40,70,526,191,42,156,0,9,189,193
Foxhound,Royal Navy,Destroyer,Normal,Level 120,/w/images/7/75/FoxhoundChibi.png,1373,Light,192,68,71,350,209,42,150,0,7,180,213
Matsukaze,Sakura Empire,Destroyer,Rare,Level 100,/w/images/a/a6/MatsukazeChibi.png,1301,Light,176,45,51,362,184,44,113,0,7,174,167
Foxhound,Royal Navy,Destroyer,Normal,Level 100 Retrofit,/w/images/7/75/FoxhoundChibi.png,1309,Light,167,68,97,311,243,45,145,0,7,171,193
Littorio,Sardegna Empire,Battleship,Super Rare,Level 100,/w/images/5/52/LittorioChibi.png,7182,Heavy,134,79,379,0,21,30,211,0,15,49,0
Foxhound,Royal Navy,Destroyer,Normal,Level 100,/w/images/7/75/FoxhoundChibi.png,1144,Light,167,68,62,311,203,42,130,0,7,171,193
Matsukaze,Sakura Empire,Destroyer,Rare,Base Stats,/w/images/a/a6/MatsukazeChibi.png,252,Light,74,45,11,77,71,44,24,0,1,67,45
Foxhound,Royal Navy,Destroyer,Normal,Base Stats,/w/images/7/75/FoxhoundChibi.png,221,Light,70,68,13,66,78,42,28,0,1,66,53
